            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459763.500000000, A.D. 2022-Jul-03 00:00:00.0000, -1.349669097099871E+06,  2.611615342959257E+05,  2.935070336354607E+04, -2.296149074177814E-03, -1.572140508644540E-02,  1.717977603850444E-04,  4.586565115887066E+00,  1.375017629868838E+06, -7.285306159336649E-04,
2459764.500000000, A.D. 2022-Jul-04 00:00:00.0000, -1.349866440037158E+06,  2.598031018017873E+05,  2.936552064129995E+04, -2.271979139156815E-03, -1.572376226233162E-02,  1.711966425976628E-04,  4.586353948249945E+00,  1.374954323403856E+06, -7.368874147652879E-04,
2459765.500000000, A.D. 2022-Jul-05 00:00:00.0000, -1.350061696090584E+06,  2.584444732243477E+05,  2.938028648102545E+04, -2.247843789797729E-03, -1.572594425187137E-02,  1.706072447628295E-04,  4.586140380902223E+00,  1.374890297523734E+06, -7.451816998401589E-04,
2459766.500000000, A.D. 2022-Jul-06 00:00:00.0000, -1.350254868829010E+06,  2.570856636167765E+05,  2.939500194002037E+04, -2.223756535890473E-03, -1.572795334326104E-02,  1.700305782203456E-04,  4.585924433632774E+00,  1.374825558161027E+06, -7.534011697588408E-04,
2459767.500000000, A.D. 2022-Jul-07 00:00:00.0000, -1.350445962999423E+06,  2.557266877356547E+05,  2.940966815603054E+04, -2.199731055657999E-03, -1.572979414843618E-02,  1.694674833771894E-04,  4.585706129752699E+00,  1.374760112304229E+06, -7.615337692198211E-04,
2459768.500000000, A.D. 2022-Jul-08 00:00:00.0000, -1.350634984518503E+06,  2.543675598332921E+05,  2.942428632980917E+04, -2.175780649350711E-03, -1.573147373784319E-02,  1.689185685920334E-04,  4.585485495946600E+00,  1.374693967953180E+06, -7.695682384288969E-04,
2459769.500000000, A.D. 2022-Jul-09 00:00:00.0000, -1.350821940413944E+06,  2.530082934453901E+05,  2.943885770268773E+04, -2.151917630982289E-03, -1.573300160882372E-02,  1.683841569794222E-04,  4.585262561959867E+00,  1.374627134025326E+06, -7.774946923688450E-04,
2459770.500000000, A.D. 2022-Jul-10 00:00:00.0000, -1.351006838712617E+06,  2.516489011893281E+05,  2.945338353014061E+04, -2.128152716970551E-03, -1.573438947006649E-02,  1.678642479576347E-04,  4.585037360121827E+00,  1.374559620212754E+06, -7.853051701983985E-04,
2459771.500000000, A.D. 2022-Jul-11 00:00:00.0000, -1.351189688278151E+06,  2.502893945889978E+05,  2.946786505287972E+04, -2.104494477525391E-03, -1.573565084475559E-02,  1.673584993652161E-04,  4.584809924722443E+00,  1.374491436795336E+06, -7.929940918319857E-04,
2459772.500000000, A.D. 2022-Jul-12 00:00:00.0000, -1.351370498606139E+06,  2.489297839409996E+05,  2.948230346744400E+04, -2.080948914511750E-03, -1.573680051553233E-02,  1.668662341028056E-04,  4.584580291277811E+00,  1.374422594420531E+06, -8.005585644406818E-04,
2459773.500000000, A.D. 2022-Jul-13 00:00:00.0000, -1.351549279590295E+06,  2.475700782341229E+05,  2.949669989847757E+04, -2.057519218209059E-03, -1.573785385519125E-02,  1.663864725198047E-04,  4.584348495734322E+00,  1.374353103864795E+06, -8.079984962259108E-04,
2459774.500000000, A.D. 2022-Jul-14 00:00:00.0000, -1.351726041276557E+06,  2.462102851293260E+05,  2.951105537484762E+04, -2.034205734889688E-03, -1.573882610814763E-02,  1.659179881591697E-04,  4.584114573670444E+00,  1.374282975794284E+06, -8.153164983649446E-04,
2459775.500000000, A.D. 2022-Jul-15 00:00:00.0000, -1.351900793623711E+06,  2.448504110008886E+05,  2.952537081135866E+04, -2.011006147447544E-03, -1.573973170914639E-02,  1.654593799985272E-04,  4.583878559556142E+00,  1.374212220542835E+06, -8.225175885254114E-04,
2459776.500000000, A.D. 2022-Jul-16 00:00:00.0000, -1.352073546287660E+06,  2.434904610310019E+05,  2.953964699700291E+04, -1.987915832424165E-03, -1.574058374742833E-02,  1.650091489815587E-04,  4.583640486120319E+00,  1.374140847922326E+06, -8.296087508080109E-04,
2459777.500000000, A.D. 2022-Jul-17 00:00:00.0000, -1.352244308441884E+06,  2.421304393448331E+05,  2.955388458983621E+04, -1.964928332199663E-03, -1.574139352246075E-02,  1.645657776302078E-04,  4.583400383858668E+00,  1.374068867075134E+06, -8.365984015252108E-04,
2459778.500000000, A.D. 2022-Jul-18 00:00:00.0000, -1.352413088642321E+06,  2.407703491782262E+05,  2.956808411859623E+04, -1.942035905784097E-03, -1.574217031407127E-02,  1.641277993364824E-04,  4.583158280703731E+00,  1.373996286375225E+06, -8.434958177556576E-04,
2459779.500000000, A.D. 2022-Jul-19 00:00:00.0000, -1.352579894740501E+06,  2.394101930556303E+05,  2.958224598958014E+04, -1.919230072186353E-03, -1.574292130616617E-02,  1.636938544222442E-04,  4.582914201855968E+00,  1.373923113377509E+06, -8.503106010115685E-04,
2459780.500000000, A.D. 2022-Jul-20 00:00:00.0000, -1.352744733841146E+06,  2.380499729691722E+05,  2.959637049769291E+04, -1.896502104340177E-03, -1.574365165827327E-02,  1.632627295783421E-04,  4.582668169758064E+00,  1.373849354810131E+06, -8.570522153448563E-04,
2459781.500000000, A.D. 2022-Jul-21 00:00:00.0000, -1.352907612299937E+06,  2.366896905465449E+05,  2.961045784026501E+04, -1.873843452261872E-03, -1.574436468403484E-02,  1.628333820682636E-04,  4.582420204191362E+00,  1.373775016603390E+06, -8.637296127510817E-04,
2459782.500000000, A.D. 2022-Jul-22 00:00:00.0000, -1.353068535753356E+06,  2.353293472000047E+05,  2.962450813226514E+04, -1.851246062645010E-03, -1.574506210243798E-02,  1.624049484846403E-04,  4.582170322463718E+00,  1.373700103946051E+06, -8.703509716105135E-04,
2459783.500000000, A.D. 2022-Jul-23 00:00:00.0000, -1.353227509171842E+06,  2.339689442519881E+05,  2.963852142173881E+04, -1.828702600336202E-03, -1.574574432208737E-02,  1.619767418019266E-04,  4.581918539657898E+00,  1.373624621359811E+06, -8.769235355633906E-04,
2459784.500000000, A.D. 2022-Jul-24 00:00:00.0000, -1.353384536928196E+06,  2.326084830358355E+05,  2.965249770460828E+04, -1.806206581859464E-03, -1.574641072904145E-02,  1.615482400670540E-04,  4.581664868913761E+00,  1.373548572783904E+06, -8.834535376333903E-04,
2459785.500000000, A.D. 2022-Jul-25 00:00:00.0000, -1.353539622874197E+06,  2.312479649722604E+05,  2.966643693824076E+04, -1.783752434503621E-03, -1.574705995763311E-02,  1.611190696494298E-04,  4.581409321722025E+00,  1.373471961663159E+06, -8.899461928588920E-04,
